Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Затула,Юхим,Іванович,Чоловіча,2005-03-14,Складальник,село Інкерман,"провулок Кільцева, буд. 0 кв. 600, Богуслав, 57497",+380 34 388-43-38,tvdovenko@example.net
Рябець,Ліза,Павлівна,Жіноча,1976-09-14,Ветеринар,село Бахмач,"проспект Десятого квітня, буд. 814, Камінь-Каширський, 89969",797 82 74,ivanenkoboleslav@example.com
Даньків,Ярема,Вікторович,Чоловіча,2008-10-15,Громадський діяч,село Берегове,"вулиця Восьмого березня, буд. 4, Охтирка, 14416",+380 68 509 63 67,makar66@example.org
Гресь,Єлисей,Леонідович,Чоловіча,1939-07-22,Електрослюсар,селище Ізмаїл,"парк Кипарисний 3-й, буд. 373 кв. 9, Умань, 42488",+380 (35) 722-59-29,artymyshynalbert@example.org
Фоменко,Тетяна,Миколаївна,Жіноча,1986-05-20,Сантехнік,селище Олешки,"площа Деревообробний 2-й, буд. 102, Севастополь, 86217",757 22 03,sachenkooleh@example.org
Коваленко,Ярослава,Вікторівна,Жіноча,1947-06-22,Педагог,село Краматорськ,"узвіз Уманська, буд. 5 кв. 04, Роздільна, 43245",365-02-39,volodymyr10@example.org
Чумаченко,Панас,Федорович,Чоловіча,1980-07-17,Мікробіолог,хутір Южноукраїнськ,"проспект Шостої 1-й, буд. 58, Вуглегірськ, 03100",099 285-08-73,pavlo50@example.org
Луценко,Іван,Павлович,Чоловіча,1942-10-23,Бібліотекар,хутір Благовіщенське,"парк Кладовищний, буд. 2, Красноград, 72618",+380 91 142 34 90,agerus@example.net
Голик,Клавдія,Романівна,Жіноча,1946-06-30,Психолог,місто Підгайці,"провулок Флотський 4-й, буд. 305 кв. 6, Вугледар, 24841",079 558-43-62,vadymlutsenko@example.net
Чалий,Віра,Богданівна,Жіноча,1968-03-15,Палеонтолог,село Шостка,"парк Дніпровська, буд. 522 кв. 710, Узин, 25064",799 57 19,lesykheorhii@example.com
Радченко,Богуслава,Сергіївна,Жіноча,1973-01-10,Правник,селище Харцизьк,"вулиця Марата 2-й, буд. 8 кв. 7, Дубровиця, 98832",229 62 57,talanmykyta@example.com
Власюк,Соломія,Євгенівна,Жіноча,2005-02-03,Акушер,село Шостка,"площа Заводська 3-тя, буд. 8 кв. 54, Зимогір'я, 40438",063 324-30-61,andreikodavyd@example.net
Жаліло,Демʼян,Андрійович,Чоловіча,1939-01-27,Скульптор,місто Володимир-Волинський,"вулиця Державіна, буд. 66, Хрестівка, 71230",+380 (63) 866-08-30,shevchenkozorian@example.net
Чаленко,Святослава,Романівна,Жіноча,1986-03-31,Ді-джей,селище Таврійськ,"площа Вєтрогонова, буд. 36 кв. 41, Мерефа, 55468",+380 24 815 94 38,demianiuksviatoslav@example.org
Чуприна,Ірена,Леонідівна,Жіноча,1953-09-05,Державний службовець,село Рені,"парк Проїзний 2-й, буд. 7, Жданівка, 16943",011 475 05 56,leontiizharko@example.org
Забарна,Вікторія,Ярославівна,Жіноча,1960-05-25,Реабілітолог,місто Ворожба,"шосе Килимовий, буд. 325 кв. 1, Хотин, 34906",+380 89 670 70 24,sheremetaklavdiia@example.net
Сомко,Зорян,Юрійович,Чоловіча,1985-02-05,Гірничий інженер,хутір Городня,"проспект Перемоги, буд. 2 кв. 52, Зугрес, 46445",+380 (83) 301-29-08,pchupryna@example.net
Сацюк,Владислав,Євгенович,Чоловіча,1939-12-27,Вчитель,хутір Сніжне,"сквер Сімферопольська, буд. 8, Первомайськ, 10464",+380 (16) 909-52-97,xsych@example.com
Дубас,Софія,Василівна,Жіноча,1948-06-13,Промисловець,село Зоринськ,"набережна Штабний, буд. 719 кв. 83, Гірник , 71217",+380 (88) 811-30-30,labanataliia@example.com
Щириця,Леон,Андрійович,Чоловіча,1995-01-30,Паралегал,місто Славута,"провулок Щоголєва, буд. 914, Новий Калинів, 09516",073 38 36,shakhraivenedykt@example.net
Вітрук,Нестор,Віталійович,Чоловіча,1953-08-07,Мікробіолог,хутір Жовква,"проспект Житомирська, буд. 008 кв. 132, Кадіївка, 11816",086 515 22 57,sachenkomarko@example.org
Якименко,Кирило,Григорович,Чоловіча,1973-10-19,Швачка,селище Жмеринка,"сквер Єлісаветинська, буд. 30, Херсон, 44006",040 01 69,sbaranets@example.org
Голик,Юстина,Іванівна,Жіноча,1959-02-24,Секретар,село Тячів,"сквер Віри Холодної, буд. 31 кв. 78, Шостка, 52212",029 609-71-67,phaidenko@example.com
Масоха,Аніта,Андріївна,Жіноча,1942-05-31,Випробувач,село Кіцмань,"узвіз Сєченова, буд. 143, Алмазна, 88648",634-62-07,iustymkozak@example.com
Дубина,Анастасія,Вікторівна,Жіноча,1999-09-25,Живописець,селище Новомосковськ,"проспект Шебелінський, буд. 01 кв. 628, Молочанськ, 18481",075 355-64-42,dannadrobiazko@example.net
Гунько,Данна,Володимирівна,Жіноча,1991-06-05,Астронавт,місто Ізяслав,"площа Дунаєвського, буд. 8 кв. 3, Олександрія, 21392",321-93-08,arkadiihaievska@example.net
Запорожець,Людмила,Іванівна,Жіноча,1976-03-07,Літературознавець,селище Сєвєродонецьк,"площа Композитора Ніщинського, буд. 10, Тячів, 80068",456 30 03,iefremvivcharenko@example.com
Засуха,Соломія,Андріївна,Жіноча,1977-06-28,Композитор,селище Валки ,"узвіз Посмітного, буд. 776 кв. 9, Трускавець, 78260",+380 25 173 94 56,smykdavyd@example.org
Проценко,Омелян,Миколайович,Чоловіча,1991-03-14,Державний службовець,місто Моспине,"проспект Чорноморська, буд. 123 кв. 27, Ялта, 89175",337 88 94,stepanperepelytsia@example.net
Давиденко,Тереза,Вікторівна,Жіноча,1988-12-30,Гірник,місто Сокаль,"вулиця Космонавтів, буд. 402, Корюківка, 72143",+380 20 364-86-23,ifranchuk@example.net
Асаула,Болеслав,Миколайович,Чоловіча,1992-10-04,Локсмайстер,селище Ананьїв,"набережна Добровольського, буд. 950 кв. 7, Жовква, 82440",378-53-51,heorhiikybkalo@example.com
Онищенко,Сніжана,Володимирівна,Жіноча,1964-07-10,Скульптор,хутір Дніпро ,"площа Маршала Малиновського, буд. 1, Чоп, 36868",505 28 67,tzabara@example.org
Перебийніс,Андрій,Віталійович,Чоловіча,1998-07-12,Медик,селище Щастя ,"вулиця Бориса Літвака, буд. 5, Жмеринка, 47839",697-63-90,alina63@example.net
Семенченко,Святослава,Андріївна,Жіноча,2004-06-28,Льотчик,селище Алмазна,"площа Львівська, буд. 2 кв. 84, Татарбунари, 35296",723 43 52,okseniiaiaremko@example.net
Савенко,Остап,Романович,Чоловіча,1999-02-20,Фізик,село Новоукраїнка,"шосе Дальницька, буд. 34 кв. 8, Суходільськ, 75307",+380 24 009-59-19,prytulazlatoslava@example.org
Воблий,Одарка,Федорівна,Жіноча,1961-01-28,Графік,місто Богодухів,"узвіз Заводська, буд. 3 кв. 04, Ківерці, 67979",+380 55 434-38-66,odarka00@example.com
Дуплій,Теодор,Сергійович,Чоловіча,1957-05-05,Стропальник,село Світловодськ,"набережна Восьмого Березня Лінія 5-та, буд. 5, Роздільна, 21359",678 00 35,ihorbaida@example.com
Євтушок,Златослава,Романівна,Жіноча,1951-01-28,Композитор,хутір Верхівцеве,"шосе Асташкіна, буд. 787 кв. 26, Фастів, 58358",+380 (09) 562-49-39,eskorobohatko@example.net
Цушко,Степан,Павлович,Чоловіча,1992-06-30,Мірошник,місто Сокиряни,"проспект Кільцева, буд. 1, Соледар, 47249",+380 (38) 430-25-28,kylymnykihor@example.net
Павленко,Герман,Миколайович,Чоловіча,1960-02-17,Ріелтор,село Новоукраїнка,"провулок Львівський, буд. 886, Берестечко, 80576",062 725 31 21,lkozachenko@example.com
